ID de cita,Títol,Descripció,Data,Adreça,Districte,Categoria,Subcategoria,Assistents,Propostes,Intervencions,URL
407,La reproducció assitida per a col·lectius de diversitat sexual,"Pretén reflexionar al voltant de la reproducció assistida per dones soles i/o lesbianes. Quines propostes de canvi requereix l'actual model d'atenció i informació i tractaments de la reproducció assistida? Dirigit a entitats, professionals que treballen sobre aquesta temàtica i professionals de la salut. (Atenció, ha canviat al dia 9 de març).",09/03/2016,"Passeig de Sant Joan, 75, Barcelona, Espanya",,Bon viure,Equitat de gènere i diversitat sexual,8,9,25,https://decidim.barcelona/meetings/la-reproduccio-assitida-per-a-col-lectius-de-diversitat-sexual
408,Discriminació laboral en l'àmbit LGTBI,"Pretén reflexionar sobre quines eines són més efectives per protegir els drets de les persones LGTBI en l'àmbit laboral. Dirigit a entitats, sindicats o professionals que poden aportar coneixement especialitzat en aquesta temàtica. (Atenció, ha canviat al dia 10 de març).",10/03/2016,"Passeig de Sant Joan, 75, 08009 Barcelona, Barcelona, Espanya",,Bon viure,Equitat de gènere i diversitat sexual,10,20,32,https://decidim.barcelona/meetings/discriminacio-laboral-en-l-ambit-lgtbi
410,El Port com a espai públic (Debat),Com apropar el Port a la ciutat de Barcelona?,12/03/2016,"Pla de Palau, 18, Barcelona, Espanya",Ciutat Vella,Transició ecològica,Medi ambient i espai públic,31,8,10,https://decidim.barcelona/meetings/el-port-com-a-espai-public
411,"Ciutat Vella, districte divers","Parlem d’interculturalitat, identitats i futur",04/04/2016,"Avinguda Drassanes, 14, 08001 Barcelona, Barcelona, Espanya",Ciutat Vella,Bon viure,"Migració, interculturalitat i discriminació zero",20,21,45,https://decidim.barcelona/meetings/ciutat-vella-districte-divers
418,Models de participació veïnal,"Promoure la relació en Xarxa del veïnat per tal de millorar el benestar i la cohesió social al barri d'Hostafrancs.
Debat tancat",15/03/2016,"Carrer del Sant Crist, 7, 08014 Barcelona, Barcelona, Espanya",Sants Montjuïc,Bon viure,Convivència i seguretat,20,7,60,https://decidim.barcelona/meetings/models-de-participacio-veinal
422,Consell Sectorial Extraordinari de Gent Gran Sants Montjuïc,Necessitats de la Gent gran per incloure al PAD,10/03/2016,"Carrer de la Creu Coberta, 104, Barcelona, Espanya",Sants Montjuïc,Bon viure,Cicles de vida ,21,14,23,https://decidim.barcelona/meetings/consell-sectorial-de-gent-gran
423,La cultura de proximitat i cultura alternativa Sants Montjuïc,Promoció d'una xarxa d'entitats culturals a Sants Montjuïc,04/04/2016,"Carrer de Rossend Arús, Barcelona, Espanya",Sants Montjuïc,Bon viure,Cultura,14,12,30,https://decidim.barcelona/meetings/la-cultura-de-proximitat-i-cultura-alternativa-sants-montjuic
424,Consell de comerç,Grup tancat,16/03/2016,"Carrer la Llacuna, 162, Barcelona, Espanya",Ciutat Vella,Economia plural,Desenvolupament i economia de proximitat,27,11,46,https://decidim.barcelona/meetings/consell-de-comerc
425,Comerç de proximitat,,30/03/2016,"Gran Via de Les Corts Catalanes, 491, 08015 Barcelona, Barcelona, Espanya",,Economia plural,Desenvolupament i economia de proximitat,30,21,90,https://decidim.barcelona/meetings/comerc-de-proximitat
432,Pensar l'espai públic amb perspectiva de gènere Sants-Montjuïc,Fer un diagnòstic i avaluació urbana per part de les dones que viuen al districte de Sants Montjuïc amb perspectiva de gènere. ,30/03/2016,"Carrer de la Creu Coberta, 104, Barcelona, Espanya",Sants Montjuïc,Bon viure,Equitat de gènere i diversitat sexual,17,7,34,https://decidim.barcelona/meetings/pensar-l-espai-public-amb-perspectiva-de-genere-sants-montjuic
427,Debat i propostes per un turisme sostenible al barri de la Sagrada Família,"Parlem de governança, de gestió d'activitats turístiques. L'allotjament, la mobilitat, ocupació de l'espai públic, corresponsabilitat. Control i retorn de la taxa turística. 
Relació de Turisme i Barri.",18/03/2016,"Carrer de Cartagena, 231, 08013 Barcelona, Barcelona, Espanya",Eixample,Economia plural,Turisme sostenible,28,28,14,https://decidim.barcelona/meetings/turisme-i-barri-gestio-de-la-pressio-turistica
428,Comerç de Proximitat,Debat entorn al comerç de proximitat i als nous models econòmics de proximitat. Quin barri volem? com podem fomentar el comerç de proximitat?,04/04/2016,"Centre Cívic Vil·la Florida, Carrer de Muntaner, Barcelona, España",Sarrià - Sant Gervasi,Economia plural,Desenvolupament i economia de proximitat,8,6,7,https://decidim.barcelona/meetings/comerc-de-proximitat-3f7fa699-857d-4281-93cc-66bbeda51315
429,Jornada Ciutat Inclusiva,"Aquesta sessió se centrarà en la necessitat de platejar una estratègia per lluitar en favor de la inclusió social davant les desigualtats socials i territorials a Barcelona, definint els eixos i àmbits prioritaris per fer el desplegament d’estratègies territorials. (CANVI D'HORA: EL DEBAT ÉS A LES 17:30)",04/04/2016,"Carrer de Montcada, 15, 08003 Barcelona, Barcelona, Espanya",,Bon viure,Justícia social,55,42,20,https://decidim.barcelona/meetings/jornada-ciutat-inclusiva
430,Jornada Accessibilitat Universal,Aquesta sessió es planteja com un espai de participació i debat al voltant de la necessitat d’elaborar un pla d’accessibilitat universal per garantir tant l'accessibilitat física i comunicativa com l’accessibilitat als productes i als serveis de les persones amb diversitat funcional.,01/04/2016,"Plaça de les Glòries Catalanes, 37, 08018 Barcelona, Barcelona, Espanya",,Bon viure,Autonomia personal ,57,35,50,https://decidim.barcelona/meetings/jornada-accessibilitat-universal
431,Reurbanització c/Major de Sarrià ,"L'objectiu del debat és el de recollir impressions, propostes i suggeriments de cara al projecte de reurbanització de la part alta del carrer Major de Sarrià.",14/03/2016,"Av. Vallvidrera, 9, Barcelona, España",Sarrià - Sant Gervasi,Transició ecològica,Urbanisme per als barris,38,15,65,https://decidim.barcelona/meetings/reurbanitzacio-c-major-de-sarria
433,Com abordem la Salut als barris: El Pla Municipal de Salut a Sants-Montjuïc,"Salut Mental amb infància, adolescents i joves",06/04/2016,"Carrer de Vila i Vilà, 16, 08004 Barcelona, Barcelona, Espanya",Sants Montjuïc,Bon viure,Sanitat i salut,20,18,64,https://decidim.barcelona/meetings/com-abordem-la-salut-als-barris-el-pla-municipal-de-salut-a-sants-montjuic
434,Creació d’ocupació de qualitat per a tothom,"L’acte se centrarà en els següents 5 temes: 

-Atenció territorial de les polítiques d’ocupació: com arribar als 73 barris
-Les polítiques actives d’ocupació des d’una perspectiva transversal 
-Les polítiques actives d'ocupació centrades en les persones
-Emprenedoria i ocupació
-L'Economia Social i Solidaria com a dinamitzadora d'ocupació",15/03/2016,"Parc Tecnològic, Marie Curie, 8-14, 08042 Barcelona, Barcelona, España",,Economia plural,Ocupació de qualitat,46,17,8,https://decidim.barcelona/meetings/creacio-d-ocupacio-de-qualitat-per-a-tothom
436,Promoció de l'autonomia de les persones amb diversitat funcional/discapacitat,"Sala equipada amb anell magnètic
Activar la posició “T” a l’audiòfon
Si voleu assistir-hi i necessiteu alguna mesura d’accessibilitat per persones amb discapacitat auditiva, cal que ho comuniqueu abans del dia 5 d’abril al correu electrònic gpalomares@bcn.cat o al telèfon 93 291 57 02",07/04/2016,"Plaça de Valentí Almirall, Barcelona, Espanya",Sant Martí,Bon viure,Autonomia personal ,20,29,29,https://decidim.barcelona/meetings/promocio-de-l-autonomia-de-les-persones-amb-diversitat-funcional-discapacitat
437,Tres Turons,,06/04/2016,"Carrer de la Murtra, 135, 08032 Barcelona, Barcelona, Espanya",Horta - Guinardó,Transició ecològica,Urbanisme per als barris,59,11,1,https://decidim.barcelona/meetings/tres-turons
438,Pla de Barri del Fort Pienc,Una mirada amb perspectiva al Barri. ,31/03/2016,"Plaça Fort Pienc, 4, 08013 Barcelona, Barcelona, Espanya",Eixample,Bon govern,Participació ciutadana,25,25,16,https://decidim.barcelona/meetings/pla-de-barri-del-fort-pienc
439,Equipaments a Vallcarca: Consolat de Dinamarca i Can Carol,Aportacions d'idees per a la definició dels programes funcionals dels futurs equipaments a l'antic Consolat de Dinamarca i  Can Carol.,02/04/2016,"Avinguda de Vallcarca, 99, 08023 Barcelona, Barcelona, Espanya",Gràcia,Transició ecològica,Urbanisme per als barris,42,9,40,https://decidim.barcelona/meetings/equipaments-a-vallcarca-consolat-de-dinamarca-i-can-carol
450,[Jornada de treballadores i treballadors municipals] Foment de l'economia social i solidària i cooperativa,"Que és l'economia solidària i que són les altres economies? Des de molts àmbits de l'Ajuntament i territoris de la ciutat, es poden reforçar i fomentar? ",18/03/2016,"Plaça Sant Jaume, Plaça de Sant Jaume, Barcelona, Espanya",,Economia plural,"Economia cooperativa, social i solidària",22,21,65,https://decidim.barcelona/meetings/jornada-de-treballadores-i-treballadors-municipals-foment-de-l-economia-social-i-solidaria-i-cooperativa
441,Jornada participativa sobre transició energètica,"Debat PAM sobre el foment de l’estalvi i l’eficiència energètica, l'increment de les energies renovables, i la garantia  dels subministraments bàsics i la lluita contra la pobresa energètica.",31/03/2016,"Centre Cívic Besòs, Rambla de Prim, Barcelona, Espanya",,Transició ecològica,Energia i canvi climàtic,53,24,159,https://decidim.barcelona/meetings/jornada-participativa-sobre-transicio-energetica
442,Jornada participativa sobre mobilitat sostenible i espai públic,Debat PAM sobre mobilitat sostenible i espai públic,07/04/2016,"Centre Cívic Besòs, Rambla de Prim, Barcelona, Espanya",,Transició ecològica,Mobilitat sostenible,27,17,53,https://decidim.barcelona/meetings/jornada-participativa-sobre-mobilitat-sostenible-i-espai-public
443,Debat del PAM del Consell Municipal d'Immigració ,"Diferents entitats d'aquest òrgan de participació debatran sobre les propostes de migració, interculturalitat i discriminació zero, a mes de l'eix transversal de l'acció comunitària",17/03/2016,"Carrer de València, 344, Barcelona, Espanya",,Bon viure,"Migració, interculturalitat i discriminació zero",15,36,83,https://decidim.barcelona/meetings/debat-del-pam-del-consell-municipal-d-immigracio
449,[Jornada de treballadores i treballadors municipals] Residu Zero,"Un nou paradigma en la prevenció i la gestió dels residus. L’Ajuntament proposa diferents línies estratègiques per abordar aquest tema: el paper de l'educació ambiental, la prevenció de residus, les millors eines per promoure la coresponsabilitat ciutadana, els sistemes de dipòsit, devolució i retorn d'envasos, com millorar la recollida selectiva.",18/03/2016,"Plaça Sant Jaume, Plaça de Sant Jaume, Barcelona, Espanya",,Transició ecològica,Medi ambient i espai públic,9,10,31,https://decidim.barcelona/meetings/jornada-de-treballadores-i-treballadors-municipals-residu-zero
538,Com reinvertir els beneficis del turisme a Ciutat Vella (Cita tancada),Com reinvertir els beneficis del turisme a Ciutat Vella (Cita tancada),08/04/2016,"Plaça del Bonsuccés, Barcelona, Espanya",Ciutat Vella,Economia plural,Turisme sostenible,32,8,28,https://decidim.barcelona/meetings/com-reinvertir-els-beneficis-del-turisme-a-ciutat-vella-cita-tancada
444,[Jornada de treballadores i treballadors municipals] Pla de Barris,"El Pla de Barris cal abordar-lo des d'una visió integral, de cohesió i d’innovació social en els barris més vulnerables. Des de l'Ajuntament proposem quatre àmbits d’actuació: programes socials, actuacions de promoció econòmica i ocupació, intervenció sobre l’espai públic i els equipament, i una estratègia de rehabilitació d’habitatges. ",17/03/2016,"Plaça Sant Jaume, Plaça de Sant Jaume, Barcelona, Espanya",,Bon govern,Acció comunitària,28,19,50,https://decidim.barcelona/meetings/jornada-de-treballadores-i-treballadors-municipals-pla-de-barris
445,[Jornada de treballadores i treballadors municipals] Salut mental en infància i adolescència,Una problemàtica creixent que cal abordar entre la població més jove i que hem de treballar des de l’Ajuntament de manera transversal.,17/03/2016,"Plaça Sant Jaume, Plaça de Sant Jaume, Barcelona, Espanya",,Bon viure,Sanitat i salut,19,17,40,https://decidim.barcelona/meetings/jornada-de-treballadores-i-treballadors-municipals-salut-mental-en-infancia-i-adolescencia
446,[Jornada de treballadores i treballadors municipals] Habitatge,"El dret a l’habitatge s’ha de fer efectiu. Proposem quatre línies de treball: promoure la funció social de l'habitatge i el sòl; revertir l'exclusió residencial; promoure la rehabilitació dels habitatges des d'una perspectiva sostenible d'acord amb la diversitat dels usuaris, i Incrementar la promoció d'habitatge de lloguer social i cooperatiu.",17/03/2016,"Plaça Sant Jaume, Plaça de Sant Jaume, Barcelona, Espanya",,Bon viure,Habitatge,26,18,100,https://decidim.barcelona/meetings/jornada-de-treballadores-i-treballadors-municipals-habitatge
447,[Jornada de treballadores i treballadors municipals] Descentralització Territorial,"Barcelona és una ciutat de ciutats, no només perquè els districtes podrien ser, individualment considerats, una veritable ciutat, sinó perquè la influència de Barcelona ciutat arriba a la Barcelona metropolitana. Cal repensar el model de descentralització, quines haurien de ser les funcions principals del districtes i una millor coordinació.",17/03/2016,"Plaça Sant Jaume, Plaça de Sant Jaume, Barcelona, Espanya",,Bon govern,Eficiència i professionalitat,34,12,30,https://decidim.barcelona/meetings/jornada-de-treballadores-i-treballadors-municipals-descentralitzacio-territorial
448,[Jornada de treballadores i treballadors municipals] Operador Energètic Municipal,"L'operador d'energia ha d'ésser l'eina que ha de permetre complir amb els objectius energètics i ambientals amb què Barcelona s'ha compromès: reduir el consum d'energia, ésser més eficients energèticament, generar la màxima energia renovable i local , i garantir un subministrament energètic bàsic per a tothom. ",18/03/2016,"Plaça Sant Jaume, Plaça de Sant Jaume, Barcelona, Espanya",,Transició ecològica,Energia i canvi climàtic,9,8,24,https://decidim.barcelona/meetings/jornada-de-treballadores-i-treballadors-municipals-operador-energetic-municipal
451,[Jornada de treballadores i treballadors municipals] La contractació pública com a política social i redistributiva,"Volem utilitzar el potencial de la contractació pública per fer polítiques redistributives, mitjançant clàusules socials, i afavorir les iniciatives de proximitat i el suport als col•lectius més desafavorits.",18/03/2016,"Plaça Sant Jaume, Plaça de Sant Jaume, Barcelona, Espanya",,Economia plural,Ocupació de qualitat,13,9,29,https://decidim.barcelona/meetings/jornada-de-treballadores-i-treballadors-municipals-la-contractacio-publica-com-a-politica-social-i-redistributiva
452,[Jornada de treballadores i treballadors municipals] Administració Intel·ligent,"A més d’una Administració eficaç, que sàpiga gestionar els recursos que té a la seva disposició, necessitem una Administració intel•ligent, que interactuï amb el seu entorn, amb la ciutadania, que escolti les demandes ciutadanes i aprengui a modificar les seves actuacions per donar respostes adients. ",18/03/2016,"Plaça de Sant Jaume, s/n, 08002 Barcelona, Barcelona, Espanya",,Bon govern,Administració  intel·ligent i inclusiva,21,14,21,https://decidim.barcelona/meetings/jornada-de-treballadores-i-treballadors-municipals-administracio-intel-ligent
454,Economia Social,"Cooperant fem les Altres Economies, social, solidària, comunitària",05/04/2016,"Av. Diagonal, 643, 08028 Barcelona, Barcelona, Espanya",Les Corts,Economia plural,Desenvolupament i economia de proximitat,14,6,4,https://decidim.barcelona/meetings/plan-de-desenvolupament-economic-de-proximitat
457,PAM - Mòbil Sarrià - Sant Gervasi,"Itinerari amb el PAM mobil  pel carrer Major de Sarrià . S’ha prioritzat informar sobre el debat més proper en el temps, el Model socioeconòmic, Comerç de proximitat, consum responsable, tot i que s’informa de tots els debats incorporant els interessos dels ciutadans.",02/03/2016,"Carrer Major de Sarrià, Barcelona, España",Sarrià - Sant Gervasi,Economia plural,Desenvolupament i economia de proximitat,,0,,https://decidim.barcelona/meetings/pam-mobil-sarria-sant-gervais
463,PAM - Mòbil Sarrià - Sant Gervasi,"La dinamització al carrer ha estat per informar sobre el debat de re urbanització del carrer Major de Sarrià, el itinerari s’ha iniciat a la plaça Consell de la Vila, on es troba la seu del districte i hem pujat per carrer Maror de Sarrià fins la ronda a l’entrada de l’escola Dolors Monserdà-Santapau, indret on es celebrarà el debat.",11/03/2016,"Av. de Vallvidrera, 9, 08017 Barcelona, España",Sarrià - Sant Gervasi,Transició ecològica,Urbanisme per als barris,,0,,https://decidim.barcelona/meetings/pam-mobil-sarria-sant-gervasi-f945698d-2fdf-4a8e-852b-bdf914a9dc54
539,Debate sobre la LSC (Llengua de signes catalana)  ,"Organizador: Sords signants
Per a la sessió es comptarà amb un servei d'interpretació
",02/04/2016,"Carrer de la Conreria, 1-9, Barcelona, España",,Bon viure,Justícia social,11,15,11,https://decidim.barcelona/meetings/debate-sobre-la-lsc-llenguatge-de-signes-catala
458,PAM - Mòbil Sarrià - Sant Gervasi,Ruta del matí ha estat al casal de gent gran de Can Fabregas i pel carrer major de Sarrià i entorn per fer difusió del debat d'envelliment digne al districte de Sarrià-Sant Gervasi,04/03/2016,"Carrer de Pere Figuera i Serra, 10, Barcelona, España",Sarrià - Sant Gervasi,Bon viure,Cicles de vida ,,0,,https://decidim.barcelona/meetings/pam-mobil-sarria-sant-gervasi
459,PAM - Mòbil Sarrià - Sant Gervasi,"Punt d'informació i recull de propostes al Centre Cívic L’Elèctric a Les Planes, coincidint  una de les Trobades amb l’Alcaldessa. ",04/03/2016,"Carretera de Vallvidrera a Sant Cugat, 98, 08017 Barcelona, España",Sarrià - Sant Gervasi,Bon govern,Participació ciutadana,,0,,https://decidim.barcelona/meetings/pam-mobil-sarria-sant-gervasi-f378a375-89ff-41c9-932a-c1884589df3c
460,Pla d'equipaments del barri de la Sagrada Família,"Avaluació, demandes, necessitats d'equipaments de proximitat al barri. ",06/04/2016,"Carrer de Provença, 480, 08025 Barcelona, Barcelona, Espanya",Eixample,Transició ecològica,Urbanisme per als barris,24,24,14,https://decidim.barcelona/meetings/pla-d-equipaments-del-barri-de-la-sagrada-familia
461,PAM - Mòbil Sarrià - Sant Gervasi,Punt d’informació amb el PAM – Mòbil al casal de gent gran de Can Castelló i a la Casa Sagnier per informar del debat d’envelliment digne al districte de Sarrià – Sant Gervasi.,07/03/2016,"Carrer de Castelló, 1, 08021 Barcelona, España",Sarrià - Sant Gervasi,Bon viure,Cicles de vida ,,0,,https://decidim.barcelona/meetings/pam-mobil-sarria-sant-gervasi-bb253a95-d2d0-48a3-9844-c8d62fee8b1e
462,PAM - Mòbil Sarrià - Sant Gervasi,"La ruta s’inicia a la plaça del Consell de la Vila, i portem el PAM mòbil pel carrer major de Sarrià amb una aturada a la plaça de Sarrià, en la part alta del carrer també entrem als comerços i informem sobre el debat de re urbanització del carrer Major de Sarrià.",11/03/2016,"Plaça del Consell de la Vila, 7, Barcelona, España",Sarrià - Sant Gervasi,Transició ecològica,Urbanisme per als barris,,0,,https://decidim.barcelona/meetings/pam-mobil-sarria-sant-gervasi-133f8c6a-9575-49dc-8202-ad8b7b169bb5
464,"[Jornades  de ciutat] ""Cultura viva""","Laboratoris de la ciutadania

",02/03/2016,"Carrer de Sant Adrià, 20, Barcelona, Espanya",,Bon viure,Cultura,20,1,8,https://decidim.barcelona/meetings/jornades-de-ciutat-cultura-viva
465,Institucions de la Memòria Cultura Viva.,"Jornades de ciutat ""cultura viva"". Taller valors i economies de la cultura",02/03/2016,"Carrer de Sant Adrià, 20, Barcelona, Espanya",,Bon viure,Cultura,20,6,37,https://decidim.barcelona/meetings/jornades-de-ciutat-cultura-viva-510b8e67-a22f-4084-ba88-4b86a54aa04f
466,PAM - Mòbil Sarrià - Sant Gervasi,L’activitat amb el PAM mòbil d’avui s’ha desenvolupat als voltants de la casa Orlandai lloc on es celebrarà el debat sobre pobresa oculta.,14/03/2016,"Carrer de Jaume Piquet, 23, 08017 Barcelona, España",Sarrià - Sant Gervasi,Bon viure,Justícia social,,0,,https://decidim.barcelona/meetings/pam-mobil-sarria-sant-gervasi-728cf7c2-8312-4352-87b2-1229027c2e78
467,PAM - Mòbil Sarrià - Sant Gervasi,L’activitat amb el PAM mòbil d’avui s’ha desenvolupat pel carrer Major de Sarrià  i pèls voltants de la casa Orlandai lloc on es celebrarà el debat sobre pobresa oculta.,15/03/2016,"Carrer de Jaume Piquet, 23, 08017 Barcelona, España",Sarrià - Sant Gervasi,Bon viure,Justícia social,,0,,https://decidim.barcelona/meetings/pam-mobil-sarria-sant-gervasi-9148a280-ddda-4de2-bc1a-16fb04bce91b
468,PAM - Mòbil Sarrià - Sant Gervasi,"La ruta s’inicia al centre cívic Vil·la Florida i fem una ruta pels voltants del centre, al carrer i comerços, s’informa sobre el debat de Superilles que tindrà lloc al centre cívic.",16/03/2016,"Carrer de Muntaner, 544, 08022 Barcelona, Barcelona, España",Sarrià - Sant Gervasi,Transició ecològica,Medi ambient i espai públic,,0,,https://decidim.barcelona/meetings/pam-mobil-sarria-sant-gervasi-32ad01a5-9c1d-4335-84e5-4ac8f5ea2d18
469,PAM - Mòbil Sarrià - Sant Gervasi,"La ruta s’inicia a l’espai Putxet, també hem passejat pel carrer República Argentina per informar sobre el debat de ciutat refugi que es farà al mateix espai Putxet.",16/03/2016,"Carrer de Marmellà, 13, 08023 Barcelona, Barcelona, España",Sarrià - Sant Gervasi,Justícia global,Ciutat d’acollida,,0,,https://decidim.barcelona/meetings/pam-mobil-sarria-sant-gervasi-36024b18-930b-427c-8c56-40307754ddd8
470,Polítiques per a Joves a l'Eixample.,"Autoorganització, participació, equipaments, gestió....",01/04/2016,"Carrer Ali Bei, 120, Barcelona, Espanya",Eixample,Bon viure,Cicles de vida ,7,20,25,https://decidim.barcelona/meetings/politiques-per-a-joves-a-l-eixample
471,Activitats infantils als Centres Cívics i usos dels espais públics,"La sessió va consistir en conèixer quin era el grau de satisfacció dels infants i adolescents respecte les activitats que ofereixen els quatre centres cívics de Ciutat Vella. També se'ls va demanar que aportessin noves propostes d’oci. La proposta amb més vots va ser “llibertat d’skate”. Van participar 40 infants, 24 nens i 16 nenes.",05/03/2016,"Plaça de Sant Pere, Barcelona, Espanya",Ciutat Vella,Bon viure,Cultura,40,18,0,https://decidim.barcelona/meetings/activitats-infantils-als-centres-civics-i-usos-dels-espais-publics
